2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
21,27,29,36,26,26,32,30,37,25,38,32,28,37
22,22,60,24,31,30,39,29,36,35,23,36,29,32
26,35,57,46,34,40,24,37,41,34,35,30,22,24
30,39,29,19,29,45,28,37,29,24,30,33,30,25
53,32,28,25,24,43,35,27,26,35,39,37,49,34
27,34,34,29,24,29,24,33,44,47,33,31,32,28
39,27,46,39,37,36,29,36,27,32,48,38,33,35
33,24,28,25,20,43,30,39,31,29,39,39,30,30
31,54,35,34,29,28,28,22,36,42,27,45,33,25
31,48,31,27,26,30,35,32,41,37,31,28,43,31
29,47,30,30,23,33,45,39,43,27,32,44,36,42
19,27,25,28,26,30,33,26,25,28,25,39,26,23
42,31,27,27,30,34,45,52,43,35,38,57,50,51
34,25,23,52,33,25,36,23,37,24,39,31,22,45
23,26,27,27,24,54,34,56,43,22,25,33,28,43
27,33,25,40,28,28,23,27,28,24,60,29,34,49
33,34,34,49,29,54,26,22,39,48,40,30,35,23
27,28,25,23,41,38,29,26,27,36,42,24,38,27
31,33,36,35,32,42,35,25,44,24,30,31,27,35
32,32,21,30,23,26,31,29,26,31,30,26,56,25
26,25,28,27,19,38,27,23,24,25,45,33,40,27
40,29,36,38,28,27,45,22,33,45,34,30,29,28
26,27,40,25,37,24,29,19,27,31,31,28,37,43
38,40,27,28,43,16,29,37,23,25,40,29,33,40
31,31,39,28,35,46,23,40,23,22,32,29,35,51
40,29,24,15,34,27,33,43,50,35,32,55,33,35
39,28,45,47,26,35,29,24,26,41,26,36,41,36
25,23,44,25,25,39,24,18,26,39,39,34,38,32
28,33,26,23,29,44,35,45,33,25,36,26,45,30
28,30,32,13,24,33,38,34,33,37,45,36,33,24
29,27,22,26,25,26,52,34,29,34,38,53,41,34
34,23,23,20,51,25,27,31,35,17,46,39,30,48
37,30,24,23,35,50,26,34,32,40,32,32,39,34
29,40,25,26,29,28,32,29,50,38,50,37,31,42
40,26,24,29,31,49,34,26,26,30,33,34,30,30
25,24,25,51,29,25,30,25,34,41,42,26,25,44
28,30,22,24,38,26,24,41,42,42,37,21,49,29
30,32,25,34,28,24,18,24,43,47,28,25,37,39
34,29,27,23,31,24,28,,34,42,48,31,30,33
43,24,24,22,30,34,46,51,44,35,27,45,23,24
24,33,26,34,25,24,25,27,34,25,28,29,36,26
25,36,33,23,37,43,36,42,25,35,29,40,36,30
48,26,32,28,31,31,31,45,42,45,23,27,47,29
59,47,31,30,23,29,41,24,38,25,40,22,35,28
27,25,23,36,34,41,57,34,35,48,33,33,38,39
32,30,30,36,29,24,30,26,39,24,41,40,23,22
30,30,40,26,29,29,27,,31,54,30,26,41,28
26,31,26,29,24,28,48,42,38,26,31,41,37,25
23,22,31,36,32,23,37,23,22,46,29,27,30,22
28,27,26,31,25,34,27,43,55,30,41,32,32,21
43,20,37,29,33,37,32,41,40,51,37,50,50,36
28,29,50,24,30,49,33,28,23,42,28,32,29,42
42,26,51,30,22,26,25,26,36,31,24,24,29,37
42,21,24,26,31,42,22,39,36,46,41,44,37,31
29,23,31,32,50,29,30,28,25,39,45,36,30,25
26,31,29,38,29,28,30,39,41,52,35,28,41,42
28,38,24,47,26,22,32,28,37,29,32,35,32,27
27,55,40,32,35,39,30,42,37,31,31,32,37,30
27,44,51,47,40,24,25,20,41,24,38,42,27,44
48,34,30,31,32,50,37,42,24,27,39,27,44,30
25,29,28,24,21,45,26,34,40,31,34,44,40,26
35,22,24,41,38,41,24,36,28,39,30,38,29,34
29,26,41,29,24,37,33,27,34,25,36,27,29,30
25,34,19,25,36,44,22,30,47,26,24,26,32,35
49,33,16,44,28,24,15,50,33,41,34,36,38,27
34,33,24,37,42,37,43,29,25,37,38,26,24,21
26,28,40,33,36,36,24,24,35,28,47,25,30,28
28,41,29,46,38,29,35,28,37,38,32,42,36,28
52,38,42,29,28,34,31,36,32,27,36,30,38,22
38,36,28,45,29,45,26,33,24,37,23,40,23,43
31,30,26,37,27,30,23,24,32,27,26,30,27,29
28,37,30,28,33,40,37,35,27,38,44,30,31,40
28,36,26,29,44,41,20,21,34,28,24,36,29,28
55,48,33,27,33,42,39,37,40,29,28,26,39,26
24,38,29,25,23,43,27,46,26,49,42,32,53,28
40,40,26,26,33,28,26,50,23,37,25,28,27,42
30,49,26,38,31,50,31,31,19,30,51,27,31,35
22,37,26,52,36,18,51,34,32,45,47,28,29,39
36,31,24,26,33,23,39,39,25,23,31,25,32,27
27,29,24,38,28,48,25,34,48,47,39,55,24,33
23,30,42,26,34,23,38,35,35,51,31,37,46,39
33,47,33,28,34,41,26,26,24,41,46,45,34,34
24,43,23,35,24,25,25,26,25,26,30,36,39,41
28,35,28,24,27,36,42,29,29,32,29,51,30,19
23,31,28,39,32,36,26,35,26,45,37,24,43,30
34,30,27,25,40,41,27,40,24,41,51,24,33,37
17,22,34,40,26,45,29,24,38,25,16,31,46,24
52,30,27,29,25,23,43,25,30,34,25,24,38,30
31,26,28,27,26,34,28,27,44,31,42,33,26,52
23,45,38,24,27,26,27,32,31,22,24,33,37,31
25,34,44,29,34,32,17,50,36,26,29,38,30,57
26,38,36,26,42,45,36,33,29,23,45,26,34,35
31,25,25,29,45,19,29,51,26,31,26,30,36,54
24,26,31,29,18,24,35,42,30,21,30,31,35,29
23,24,35,35,31,35,23,38,28,27,27,56,28,30
28,31,39,27,35,38,42,39,19,25,24,40,34,29
20,36,32,24,34,23,34,35,41,23,27,21,37,36
